Sale Date,ticketsSold,cash,check,creditCard,misc,total,weekday,avgTkt,7D_avg,14D_avg,30D_avg,60D_avg,90D_avg,7D_tot,14D_tot,30D_tot,60D_tot,90D_tot
2019-08-10,13,65.0,0,20.0,689.0,774.0,Saturday,59.54,1367.5,1266.785714285715,1242.8166666666664,1178.6074999999992,1217.6255555555556,9572.5,17735.000000000007,37284.49999999999,70716.44999999995,109586.3
2019-08-11,25,160.0,0,349.0,915.0,1424.0,Sunday,56.96,1352.4285714285713,1274.2500000000005,1265.1166666666663,1191.7491666666658,1218.0144444444445,9467.0,17839.500000000007,37953.49999999999,71504.94999999995,109621.3
2019-08-12,17,150.0,0,50.0,1188.5,1388.5,Monday,81.68,1346.642857142857,1306.285714285715,1282.7333333333331,1181.9533333333325,1215.947777777778,9426.5,18288.000000000007,38481.99999999999,70917.19999999995,109435.3
2019-08-13,20,436.56,0,0.0,735.44,1172.0,Tuesday,58.6,1327.0714285714287,1317.3571428571433,1275.008333333333,1188.3283333333325,1216.0616666666667,9289.5,18443.000000000007,38250.24999999999,71299.69999999995,109445.55
2019-08-14,20,255.0,0,224.0,747.5,1226.5,Wednesday,61.32,1311.5714285714287,1277.5714285714291,1293.0916666666665,1173.4699999999991,1221.1116666666667,9181.0,17886.000000000007,38792.74999999999,70408.19999999995,109900.05
2019-08-15,10,95.0,0,105.0,566.0,766.0,Thursday,76.6,1270.142857142857,1293.7142857142862,1280.1249999999998,1150.3408333333325,1222.3172222222222,8891.0,18112.000000000007,38403.74999999999,69020.44999999995,110008.55
2019-08-16,15,585.0,0,0.0,822.75,1407.75,Friday,93.85,1165.5357142857142,1312.2678571428576,1271.5499999999997,1154.1366666666659,1217.47,8158.75,18371.750000000007,38146.49999999999,69248.19999999995,109572.3
2019-08-17,18,115.0,0,0.0,1056.25,1171.25,Saturday,65.07,1222.2857142857142,1294.8928571428576,1257.6249999999998,1157.4074999999991,1207.4505555555556,8556.0,18128.500000000007,37728.74999999999,69444.44999999995,108670.55
2019-08-18,23,40.0,0,0.0,1815.0,1855.0,Sunday,80.65,1283.857142857143,1318.1428571428576,1263.4416666666664,1170.1574999999991,1218.7283333333335,8987.0,18454.000000000007,37903.24999999999,70209.44999999995,109685.55
2019-08-19,13,279.0,0,65.0,655.0,999.0,Monday,76.85,1228.2142857142858,1287.428571428572,1253.5749999999998,1170.0158333333325,1213.4061111111112,8597.5,18024.000000000007,37607.24999999999,70200.94999999995,109206.55
2019-08-20,22,280.0,0,65.0,1779.0,2124.0,Tuesday,96.55,1364.2142857142858,1345.6428571428576,1257.708333333333,1175.586666666666,1216.9283333333333,9549.5,18839.000000000007,37731.24999999999,70535.19999999995,109523.55
2019-08-21,21,500.0,0,65.0,1034.0,1599.0,Wednesday,76.14,1417.4285714285713,1364.5000000000005,1276.5749999999998,1172.5699999999993,1213.572777777778,9922.0,19103.000000000007,38297.24999999999,70354.19999999995,109221.55
2019-08-22,15,175.0,0,129.0,618.25,922.25,Thursday,61.48,1439.75,1354.9464285714291,1277.3499999999997,1173.424166666666,1216.2644444444445,10078.25,18969.250000000007,38320.49999999999,70405.44999999995,109463.8
2019-08-23,17,295.36,0,65.0,1046.64,1407.0,Friday,82.76,1439.642857142857,1302.5892857142862,1275.9166666666665,1178.3741666666658,1215.3033333333333,10077.5,18236.250000000007,38277.49999999999,70702.44999999995,109377.3
2019-08-24,17,280.0,0,0.0,1002.25,1282.25,Saturday,75.43,1455.5,1338.8928571428576,1290.5916666666665,1183.4783333333326,1199.6616666666666,10188.5,18744.500000000007,38717.74999999999,71008.69999999995,107969.55
2019-08-25,18,94.0,0,374.0,1167.47,1635.47,Sunday,90.86,1424.1385714285714,1353.9978571428578,1316.0989999999997,1184.7278333333327,1200.191888888889,9968.97,18955.97000000001,39482.969999999994,71083.66999999995,108017.27
2019-08-26,22,295.0,0,255.0,654.0,1204.0,Monday,54.73,1453.4242857142856,1340.8192857142863,1310.6323333333332,1195.1778333333325,1200.5807777777777,10173.97,18771.47000000001,39318.969999999994,71710.66999999995,108052.27
2019-08-27,16,140.0,0,390.0,637.0,1167.0,Tuesday,72.94,1316.7099999999998,1340.4621428571434,1305.5489999999998,1203.1611666666658,1208.7696666666668,9216.97,18766.47000000001,39166.469999999994,72189.66999999995,108789.27
2019-08-28,15,68.0,0,399.0,588.75,1055.75,Wednesday,70.38,1239.1028571428571,1328.265714285715,1309.407333333333,1199.673666666666,1212.0724444444445,8673.72,18595.72000000001,39282.219999999994,71980.41999999995,109086.52
2019-08-29,15,160.0,0,245.0,515.0,920.0,Thursday,61.33,1238.7814285714285,1339.265714285715,1306.1739999999998,1202.7569999999992,1205.716888888889,8671.47,18749.72000000001,39185.219999999994,72165.41999999995,108514.52
2019-08-30,20,214.5,0,210.0,814.1,1238.6,Friday,61.93,1214.7242857142858,1327.183571428572,1288.0106666666663,1203.4919999999993,1207.0846666666669,8503.07,18580.570000000007,38640.31999999999,72209.51999999996,108637.62000000001
2019-08-31,18,206.43,0,50.0,1026.07,1282.5,Saturday,71.25,1214.76,1335.1300000000006,1312.7606666666663,1218.6169999999993,1209.5124444444446,8503.32,18691.820000000007,39382.81999999999,73117.01999999996,108856.12000000001
2019-09-01,24,89.5,0,0.0,1847.0,1936.5,Sunday,80.69,1257.7642857142857,1340.951428571429,1339.0439999999996,1244.5419999999992,1218.5974444444446,8804.35,18773.320000000007,40171.31999999999,74672.51999999996,109673.77
2019-09-02,18,170.0,0,230.0,1091.0,1491.0,Monday,82.83,1298.7642857142857,1376.0942857142861,1341.5939999999998,1262.3919999999994,1220.8974444444445,9091.35,19265.320000000007,40247.81999999999,75743.51999999996,109880.77
2019-09-03,17,415.0,0,0.0,592.0,1007.0,Tuesday,59.24,1275.9071428571428,1296.308571428572,1324.177333333333,1259.2919999999992,1221.7585555555556,8931.35,18148.320000000007,39725.31999999999,75557.51999999996,109958.27
2019-09-04,21,80.0,0,20.0,1313.75,1413.75,Wednesday,67.32,1327.05,1283.076428571429,1323.6689999999996,1259.121166666666,1218.9224444444444,9289.35,17963.070000000007,39710.06999999999,75547.26999999996,109703.02
2019-09-05,16,33.0,0,69.0,768.5,870.5,Thursday,54.41,1319.9785714285715,1279.3800000000006,1309.052333333333,1238.6794999999993,1218.6057777777778,9239.85,17911.320000000007,39271.56999999999,74320.76999999996,109674.52
2019-09-06,13,185.0,0,0.0,1113.5,1298.5,Friday,99.88,1328.5357142857142,1271.6300000000006,1307.8356666666664,1250.421166666666,1215.5557777777778,9299.75,17802.820000000007,39235.06999999999,75025.26999999996,109400.02
2019-09-07,20,420.0,0,40.0,1215.0,1675.0,Saturday,83.75,1384.607142857143,1299.683571428572,1328.4689999999998,1262.671166666666,1218.9002222222223,9692.25,18195.570000000007,39854.06999999999,75760.26999999996,109701.02
2019-09-08,14,490.0,0,65.0,297.5,852.5,Sunday,60.89,1229.75,1243.7571428571432,1285.552333333333,1263.3678333333328,1216.6002222222223,8608.25,17412.600000000006,38566.56999999999,75802.06999999996,109494.02
2019-09-09,11,58.5,0,50.0,540.5,649.0,Monday,59.0,1109.4642857142858,1204.114285714286,1281.3856666666663,1262.1011666666661,1212.866888888889,7766.25,16857.600000000006,38441.56999999999,75726.06999999996,109158.02
2019-09-10,19,85.0,0,20.0,965.5,1070.5,Tuesday,56.34,1118.5357142857142,1197.221428571429,1269.602333333333,1267.3594999999993,1217.7002222222222,7829.75,16761.100000000006,38088.06999999999,76041.56999999996,109593.02
2019-09-11,19,80.0,0,115.0,1415.0,1610.0,Wednesday,84.74,1146.5714285714287,1236.8107142857148,1276.9856666666665,1279.8594999999993,1213.630777777778,8026.0,17315.350000000006,38309.56999999999,76791.56999999996,109226.77
2019-09-12,15,130.0,0,119.0,820.0,1069.0,Thursday,71.27,1174.9285714285713,1247.4535714285719,1273.552333333333,1274.2803333333327,1216.7363333333333,8224.5,17464.350000000006,38206.56999999999,76456.81999999996,109506.27
2019-09-13,17,265.0,0,65.0,885.0,1215.0,Friday,71.47,1163.0,1245.7678571428576,1273.1689999999996,1283.1303333333328,1206.703,8141.0,17440.750000000007,38195.06999999999,76987.81999999996,108603.27
2019-09-14,12,100.0,0,230.0,595.0,925.0,Saturday,77.08,1055.857142857143,1220.2321428571433,1278.4689999999998,1279.2969999999993,1193.0502222222224,7391.0,17083.250000000007,38354.06999999999,76757.81999999996,107374.52
2019-09-15,21,185.0,0,210.0,1472.0,1867.0,Sunday,88.9,1200.7857142857142,1215.2678571428576,1293.777333333333,1282.6636666666661,1200.6835555555556,8405.5,17013.750000000007,38813.31999999999,76959.81999999996,108061.52
2019-09-16,17,130.0,0,184.0,573.5,887.5,Monday,52.21,1234.857142857143,1172.160714285715,1284.3189999999997,1270.9719999999993,1199.7113333333334,8644.0,16410.250000000007,38529.56999999999,76258.31999999996,107974.02
2019-09-17,13,150.0,0,95.0,745.0,990.0,Tuesday,76.15,1223.357142857143,1170.9464285714291,1255.4856666666665,1259.463666666666,1198.6002222222223,8563.5,16393.250000000007,37664.56999999999,75567.81999999996,107874.02
