,ClientId,ClientServiceId,Duration,EndDateTime,FirstAppointment,GenderPreference,Id,LocationId,Notes,ProgramId,ProviderId,SessionTypeId,StaffId,StaffRequested,StartDateTime,Status
725,100006747,101109.0,90,2020-01-03T20:00:00,False,None,116738,1,,2,0,1011,100000022,True,2020-01-03T18:30:00,Completed
726,100006608,100003.0,60,2020-01-03T21:15:00,True,None,116779,1,,2,0,5,100000022,False,2020-01-03T20:15:00,Completed
727,100008311,,60,2020-01-03T12:15:00,True,None,116742,1,$54.50,2,0,5,100000033,False,2020-01-03T11:15:00,NoShow
728,100008315,100003.0,60,2020-01-03T13:30:00,True,None,116746,1,,2,0,5,100000037,False,2020-01-03T12:30:00,Completed
729,100005520,101109.0,90,2020-01-03T16:15:00,False,None,116759,1,,2,0,1011,100000037,True,2020-01-03T14:45:00,Completed
730,100008292,101030.0,60,2020-01-03T17:45:00,True,None,116697,1,,5,0,1024,100000037,False,2020-01-03T16:45:00,Completed
731,100000112,101011.0,90,2020-01-03T19:30:00,False,None,116751,1,,2,0,1011,100000037,True,2020-01-03T18:00:00,Completed
732,100008325,100003.0,60,2020-01-03T21:15:00,True,None,116780,1,,2,0,5,100000055,False,2020-01-03T20:15:00,Completed
733,100008299,101011.0,90,2020-01-03T12:30:00,False,None,116731,1,,2,0,1011,100000061,True,2020-01-03T11:00:00,Completed
734,100008190,101009.0,15,2020-01-03T13:00:00,False,None,116752,1,,2,0,1009,100000061,False,2020-01-03T12:45:00,Completed
735,100008096,101203.0,90,2020-01-03T14:30:00,True,None,116644,1,,19,0,1120,100000061,False,2020-01-03T13:00:00,Completed
736,100000008,101039.0,60,2020-01-03T16:00:00,False,None,116750,1,$60,3,0,1005,100000061,False,2020-01-03T15:00:00,Completed
737,100002523,101030.0,60,2020-01-03T17:15:00,False,Female,116756,1,,5,0,1024,100000061,False,2020-01-03T16:15:00,Completed
738,100006725,100003.0,60,2020-01-03T18:30:00,False,Female,116767,1,,2,0,5,100000061,False,2020-01-03T17:30:00,Completed
739,100008316,101030.0,60,2020-01-03T20:00:00,True,None,116749,1,,5,0,1024,100000061,False,2020-01-03T19:00:00,Completed
740,100008322,100003.0,45,2020-01-03T21:30:00,True,None,116777,1,,2,0,5,100000061,False,2020-01-03T20:45:00,Completed
741,100005126,101008.0,30,2020-01-02T14:30:00,False,Female,116709,1,"No 8
30 min gift card. ",4,0,1008,3,False,2020-01-02T14:00:00,Completed
742,100000466,,30,2020-01-02T15:00:00,False,None,116716,1,,19,0,1087,3,False,2020-01-02T14:30:00,NoShow
743,100008303,101191.0,10,2020-01-02T15:10:00,True,None,116718,1,,6,0,1109,3,False,2020-01-02T15:00:00,Completed
744,100008303,101191.0,10,2020-01-02T15:25:00,True,None,116719,1,,6,0,1109,3,False,2020-01-02T15:15:00,Completed
745,100008304,101009.0,15,2020-01-02T15:45:00,True,None,116720,1,,2,0,1009,3,False,2020-01-02T15:30:00,Completed
746,100008304,101009.0,15,2020-01-02T16:15:00,True,None,116722,1,,2,0,1009,3,False,2020-01-02T16:00:00,Completed
747,100008204,101186.0,60,2020-01-02T17:30:00,False,None,116734,1,,19,0,1105,3,False,2020-01-02T16:30:00,Completed
748,100008204,101204.0,30,2020-01-02T18:00:00,False,None,116733,1,,5,0,1022,3,False,2020-01-02T17:30:00,Completed
749,100008308,102237.0,60,2020-01-02T19:00:00,True,None,116729,1,,4,0,2139,3,False,2020-01-02T18:00:00,Completed
750,100008306,101030.0,60,2020-01-02T21:00:00,True,None,116728,1,,5,0,1024,3,False,2020-01-02T20:00:00,Completed
751,100008310,101011.0,30,2020-01-02T21:30:00,True,None,116741,1,,2,0,1011,3,False,2020-01-02T21:00:00,Completed
752,100007944,101110.0,60,2020-01-02T13:00:00,False,None,116669,1,,2,0,5,100000022,True,2020-01-02T12:00:00,Completed
753,100007944,101110.0,60,2020-01-02T14:00:00,False,None,116670,1,,2,0,5,100000022,True,2020-01-02T13:00:00,Completed
754,100008301,100003.0,60,2020-01-02T16:00:00,True,Male,116714,1,a. fariasaef***@yahoo.com•97047166,2,0,5,100000022,False,2020-01-02T15:00:00,Completed
755,100008299,101030.0,60,2020-01-02T17:00:00,True,None,116713,1,,5,0,1024,100000022,False,2020-01-02T16:00:00,Completed
756,100008305,101006.0,30,2020-01-02T17:30:00,True,None,116725,1,,2,0,1006,100000022,False,2020-01-02T17:00:00,Completed
757,100008307,100003.0,60,2020-01-02T18:45:00,True,None,116727,1,,2,0,5,100000022,False,2020-01-02T17:45:00,Completed
758,100005971,100003.0,60,2020-01-02T20:00:00,False,None,116730,1,,2,0,5,100000022,False,2020-01-02T19:00:00,Completed
759,100000466,,60,2020-01-02T14:30:00,False,None,116710,1,,19,0,1110,100000033,False,2020-01-02T13:30:00,NoShow
760,100003795,101110.0,60,2020-01-02T13:00:00,False,None,116739,1,,2,0,5,100000061,False,2020-01-02T12:00:00,Completed
761,100008298,100003.0,60,2020-01-02T14:00:00,True,None,116711,1,,2,0,5,100000061,False,2020-01-02T13:00:00,Completed
762,100008294,101203.0,90,2020-01-02T15:30:00,True,None,116702,1,"Juliette Szymoniakszy***@gmail.com•5809059
",19,0,1120,100000061,False,2020-01-02T14:00:00,Completed
763,100008304,101009.0,15,2020-01-02T16:00:00,True,None,116721,1,,2,0,1009,100000061,False,2020-01-02T15:45:00,Completed
764,100008299,100003.0,60,2020-01-02T17:00:00,True,None,116712,1,,2,0,5,100000061,False,2020-01-02T16:00:00,Completed
765,100008305,101006.0,30,2020-01-02T17:30:00,True,None,116724,1,,2,0,1006,100000061,False,2020-01-02T17:00:00,Completed
766,100008309,101006.0,30,2020-01-02T19:00:00,True,None,116732,1,,2,0,1006,100000061,False,2020-01-02T18:30:00,Completed
767,100003756,101035.0,60,2020-01-02T20:00:00,False,None,116735,1,,10,0,1028,100000061,False,2020-01-02T19:00:00,Completed
